Company Name,County,City,Status,Program,Primary Funding Agreement,Award Date,Total Project Cost,Capital Investment,Direct Assistance Awarded,Tax Benefits Awarded,Projected Jobs - Created,Projected Jobs - Retained,Projected Jobs - Other,Projected Jobs - Total,Projected Qualifying Wage,Contracted Jobs - Created,Contracted Jobs - Retained,Contracted Jobs - Other Created,Contracted Jobs - Total,Contracted Qualifying Wage,Verified Total Project Cost,Project Completion Date,Final Jobs - Created,Final Jobs - Retained,Final Jobs - Other Created,Final Jobs - Total,Project Maintenance Date,City Coordinates
"DHI Group Inc. (f/k/a Dice Career Solutions, Inc.)",Polk,Urbandale,Closed Contracts - Successful,130% Component,11-130-015,11/18/2010,1750000,1750000,225000,0,16,154,0,170,23.20,16,90,0,106,23.20,5127664.00,11/30/2013,16,90,0,106,11/30/2015,POINT (-93.736522 41.630343)
Wacker Chemical Corporation,Monroe,Eddyville,Closed Contracts - Successful,130% Component,12-130-012,11/18/2011,7706860,7706860,150000,344047,3,13,0,16,21.36,3,13,0,16,21.36,7746970.00,11/30/2014,3,13,0,16,11/30/2016,POINT (-92.630188 41.158178)
"Environmental Lubricants Manufacturing, Inc.",Grundy,Grundy Center,Closed Contracts - Full,Value-Added Agriculture Component,11-VAAC-013,05/19/2011,415000,415000,60000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,06/30/2017,0,0,0,0,06/30/2019,POINT (-92.768301 42.361475)
McKesson Corporation,Cerro Gordo,Clear Lake,Closed Contracts - Successful,High Quality Jobs Program,15-HQJDF-034,02/20/2015,65242000,65242000,170000,4200000,164,0,0,164,14.79,164,0,0,164,14.79,70955084.00,02/28/2018,164,0,0,164,02/28/2020,POINT (-93.378746 43.137357)
"Peregrine Financial Group, Inc.",Black Hawk,Cedar Falls,Bankruptcy,Community Economic Betterment Account,07-CEBA-044,06/13/2007,13030000,11650000,350000,893063,41,0,12,53,21.38,0,1,89,90,21.38,0.00,06/30/2010,0,0,0,0,06/30/2012,POINT (-92.4534 42.537809)
"Valley of the Moon Commercial Poults, Inc.",Clarke,Osceola,Closed Contracts - Successful,Enterprise Zone,11-EZ-025,02/17/2011,17000000,17000000,0,1994744,11,0,22,33,11.98,11,0,22,33,11.98,21386025.00,02/28/2014,11,0,22,33,02/28/2016,POINT (-93.777005 41.030524)
"Rousselot Dubuque, Inc.",Dubuque,Dubuque,Closed Contracts - Successful,Enterprise Zone,13-EZ-001,08/17/2012,16300000,16300000,0,165562,10,0,0,10,14.48,10,0,0,10,14.48,20295576.00,12/31/2016,10,0,0,10,12/31/2018,POINT (-90.667314 42.505512)
"Transco Railway Products, Inc.",Fayette,Oelwein,Closed Contracts - Successful,Enterprise Zone,12-EZ-001,07/21/2011,1657000,1630000,0,184155,10,0,0,10,12.15,10,0,0,10,12.15,1327427.00,07/31/2014,10,0,0,10,07/31/2016,POINT (-91.911989 42.678527)
Delta Dental of Iowa,Polk,Urbandale,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-036,04/18/2014,9395000,9395000,0,251250,12,0,3,15,24.32,12,0,3,15,24.32,8361698.00,04/30/2017,12,0,3,15,04/30/2019,POINT (-93.736522 41.630343)
"Bay TSP, Inc.",Polk,Des Moines,Closed Contracts - Full,Community Economic Betterment Account,05-CEBA-020,12/16/2004,4930000,1430000,800000,0,75,0,0,75,22.51,75,0,0,75,22.51,0.00,11/30/2007,0,0,0,0,01/29/2008,POINT (-93.620309 41.588822)
Raining Rose,Linn,Cedar Rapids,Closed Contracts - Successful,130% Component,12-130-002,08/18/2011,12276077,10438885,100000,705116,15,0,39,54,21.80,15,0,39,54,21.80,14172977.00,08/31/2014,15,0,39,54,08/31/2016,POINT (-91.669808 41.978122)
"REG Mason City, LLC",Cerro Gordo,Mason City,Closed Contracts - Successful,Enterprise Zone,14-EZ-001,07/19/2013,20998086,20998086,0,1609710,18,0,0,18,13.25,18,0,0,18,13.25,23637045.00,07/31/2016,18,0,0,18,07/31/2018,POINT (-93.201042 43.153621)
Heartland Fields LLC,Polk,West Des Moines,Closed Contracts - Full,Value-added Agricultural Products and Process Financial Assistance Program,04-VAP-008,02/12/2004,540000,12000,50000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,02/12/2007,0,0,0,0,02/27/2009,POINT (-93.713031 41.575505)
American Pop Corn Company,Woodbury,Sioux City,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-001,08/19/2010,6040995,5960495,0,230975,2,0,15,17,19.83,2,0,15,17,19.83,8235843.00,08/31/2013,2,0,12,14,08/31/2015,POINT (-96.406436 42.496323)
"Camoplast Rockland, Ltd.",Dubuque,Peosta,Closed Contracts - Successful,130% Component,12-130-020,01/20/2012,2452000,2452000,168000,131600,7,15,16,38,20.52,7,15,15,37,20.52,3628100.00,01/31/2015,7,15,15,37,01/31/2017,POINT (-90.850406 42.448829)
"Behnke Enterprises, Inc.",Dubuque,Farley,Closed Contracts - Successful,130% Component,12-130-030,04/20/2012,1775000,1675000,200000,29216,25,0,0,25,20.52,7,0,0,7,20.52,3448803.00,04/30/2015,7,0,0,7,04/30/2017,POINT (-91.006179 42.442761)
"Polaris Industries, Inc.",Dickinson,Spirit Lake,Closed Contracts - Full,High Quality Jobs Program,13-HQJTC-011,09/21/2012,24700000,22575000,395000,1503000,79,0,0,79,14.63,17,0,62,79,14.63,24912640.00,09/30/2015,0,0,0,0,09/30/2019,POINT (-95.102261 43.422624)
"RuffaloCODY, LLC",Linn,Cedar Rapids,Closed Contracts - Successful,High Quality Jobs Program,13-HQJDF-028,01/18/2013,3700000,700000,425000,570000,85,0,26,111,21.73,33,0,0,33,21.73,5206361.00,01/31/2016,33,0,0,33,01/31/2018,POINT (-91.669808 41.978122)
"VizAbility, LLC",Linn,Cedar Rapids,Closed Contracts - Full,Entrepreneurial Ventures Assistance,06-EVA-023,08/16/2006,500000,0,100000,0,11,0,3,14,23.96,11,0,3,14,23.96,0.00,08/31/2009,0,0,0,0,08/31/2011,POINT (-91.669808 41.978122)
Hydrogen Engine Center,Kossuth,Algona,Closed Contracts - Full,Community Economic Betterment Account,05-CEBA-041,06/28/2005,1543316,1329716,400000,142715,38,0,11,49,11.76,38,0,11,49,11.76,0.00,07/30/2010,0,0,0,0,10/31/2010,POINT (-94.233015 43.069871)
Pinnacle Ethanol LLC,Adams,Corning,Closed Contracts - Successful,Enterprise Zone,06-EZ-031,04/20/2006,102907913,77816000,0,8914911,39,0,1,40,10.86,39,0,1,40,10.86,92435165.35,04/30/2009,39,0,1,40,04/30/2019,POINT (-94.731883 40.988077)
Rasmussen Mechanical Service Corp.,Pottawattamie,Council Bluffs,Closed Contracts - Successful,Enterprise Zone,06-EZ-003,07/13/2005,1500000,1500000,0,166246,33,0,1,34,10.51,33,0,1,34,10.51,1656129.00,07/12/2008,33,0,1,34,07/12/2018,POINT (-95.85436 41.258963)
"Happle Gourmet Foods, LLC",Iowa,Williamsburg,Closed Contracts - Full,Value-Added Agriculture Component,10-VAAC-013,04/15/2010,573000,571000,100000,0,0,0,0,0,0.00,0,0,0,0,0.00,674048.00,04/30/2013,0,0,0,0,04/30/2015,POINT (-92.007448 41.660675)
"Protocol Driven Healthcare, Inc.",Polk,Des Moines,Closed Contracts - Full,Community Economic Betterment Account,05-CEBA-003,07/15/2004,10742000,558000,320000,0,48,0,0,48,14.50,48,0,0,48,14.50,0.00,09/30/2008,0,0,0,0,09/30/2014,POINT (-93.620309 41.588822)
Monsanto Company,Poweshiek,Grinnell,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-021,01/18/2013,112000000,21500000,0,1491600,8,0,0,8,18.12,8,0,0,8,18.12,124482728.00,01/31/2016,8,0,0,8,01/31/2018,POINT (-92.727362 41.743267)
"Seaberg Industries, Inc.",Scott,Davenport,Closed Contracts - Successful,130% Component,11-130-036,06/16/2011,3318000,2960000,176000,149000,20,0,92,112,22.07,20,0,92,112,22.07,3717713.00,06/30/2014,20,0,27,47,06/30/2016,POINT (-90.577036 41.523527)
"Alcoa, Inc.",Scott,Riverdale,Closed Contracts - Successful,130% Component,12-130-007,09/15/2011,300000000,162900000,3000000,1360000,150,200,0,350,22.54,150,200,0,350,22.54,304066880.00,01/31/2015,150,200,0,350,01/31/2017,POINT (-90.464346 41.539386)
Danisco U.S. Inc. - Genencor Division,Linn,Cedar Rapids,Closed Contracts - Partial,High Quality Jobs Program,13-HQJDF-047,06/21/2013,20000000,19850000,55000,900500,11,0,0,11,21.73,11,0,0,11,21.73,35680633.00,06/30/2016,5,0,0,5,06/30/2018,POINT (-91.669808 41.978122)
Whirlpool Corporation,Iowa,Amana,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-037,04/20/2012,31661000,3183000,0,400000,0,0,0,0,0.00,0,0,0,0,20.43,45833808.00,04/30/2015,0,0,0,0,04/30/2017,POINT (-91.874512 41.801656)
"Polaris Industries, Inc.",Dickinson,Milford,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-032,02/22/2013,3865410,3665410,0,109962,6,0,34,40,14.63,6,0,34,40,14.63,3885561.00,02/28/2016,6,0,34,40,02/28/2018,POINT (-95.151365 43.333275)
"MG Biologics, Inc.",Story,Ames,Closed Contracts - Full,Value-added Agricultural Products and Process Financial Assistance Program,05-VAP-010,04/13/2005,3689000,3179000,368900,0,24,0,0,24,0.00,24,0,0,24,0.00,0.00,04/13/2008,0,0,0,0,04/30/2010,POINT (-93.620181 42.026802)
"Quality Attributes Software, Inc.",Story,Ames,Closed Contracts - Full,Community Economic Betterment Account,07-CEBA-019,11/16/2006,1404000,80000,200000,0,26,6,0,32,18.01,26,6,0,32,18.01,0.00,11/30/2009,0,0,0,0,11/30/2011,POINT (-93.620181 42.026802)
Cargill Incorporated,Webster,Fort Dodge,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-035,04/21/2011,224000000,194677783,2000000,1152408,96,0,8,104,19.62,138,0,8,146,19.62,297301000.00,04/30/2014,138,0,8,146,04/30/2016,POINT (-94.169388 42.501169)
"Alpla, Inc.",Johnson,Iowa City,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-044,04/20/2012,12200000,12200000,0,646000,19,0,18,37,20.92,19,0,18,37,20.92,13094961.00,04/30/2015,19,0,18,37,04/30/2017,POINT (-91.530128 41.66124)
"New Heaven Chemicals, Inc.",Worth,Manly,Closed Contracts - Full,High Quality Jobs Program,15-HQJDF-001,07/18/2014,8850000,8850000,128000,402000,16,0,0,16,14.79,16,0,0,16,14.79,0.00,07/31/2017,0,0,0,0,07/31/2019,POINT (-93.201091 43.284017)
"American Profol, Inc.",Linn,Cedar Rapids,Closed Contracts - Partial,130% Component,11-130-002,08/19/2010,11150000,10900000,50000,1111600,6,4,0,10,21.80,6,4,0,10,21.80,12576378.00,08/31/2013,5,4,0,9,08/31/2015,POINT (-91.669808 41.978122)
General Electric Co,Des Moines,West Burlington,Closed Contracts - Successful,100% Component,11-100-009,12/16/2010,30749000,4749000,2000000,0,0,190,0,190,15.74,0,190,0,190,15.74,83176000.00,12/31/2014,0,190,0,190,12/31/2016,POINT (-91.161628 40.826034)
"Vande Rose Foods, LLC",Mahaska,Oskaloosa,Closed Contracts - Successful,Value-added Agricultural Products and Process Financial Assistance Program,06-VAP-009,10/20/2005,2328000,90000,100000,0,6,1,1,8,16.54,6,1,1,8,16.54,0.00,10/31/2008,0,0,0,0,10/31/2010,POINT (-92.645022 41.296244)
Diamond V Mills Inc.,Linn,Cedar Rapids,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-023,02/21/2014,36000000,30000000,0,1800000,17,0,0,17,22.92,17,0,0,17,22.92,45372414.00,02/28/2017,17,0,0,17,02/28/2019,POINT (-91.669808 41.978122)
"Von Maur, Inc.",Scott,Davenport,Closed Contracts - Successful,Enterprise Zone,12-EZ-018,06/22/2012,15500000,15500000,0,1500000,10,0,0,10,15.60,10,0,0,10,15.60,18286231.74,06/30/2015,10,0,0,10,06/30/2017,POINT (-90.577036 41.523527)
Ohler Pump a division of W.S. Darley & Co.,Bremer,Janesville,Closed Contracts - Successful,High Quality Jobs Program,13-HQJDF-014,10/19/2012,600000,595000,36000,24720,9,0,0,9,18.36,5,0,0,5,18.36,719750.00,10/31/2016,5,0,0,5,10/31/2018,POINT (-92.462974 42.649525)
H.J. Heinz Company,Muscatine,Muscatine,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-017,12/20/2013,24500000,24500000,0,825000,6,0,100,106,16.37,6,0,100,106,16.37,33547515.00,12/31/2016,6,0,100,106,12/31/2018,POINT (-91.044853 41.420448)
Diamond V Mills Inc. & DV Technologies Inc.,Linn,Cedar Rapids,Closed Contracts - Successful,130% Component,11-130-035,06/16/2011,21000000,17000000,75000,935000,12,0,0,12,21.80,12,0,0,12,21.80,35478110.00,06/30/2014,12,0,0,12,06/30/2016,POINT (-91.669808 41.978122)
AML Riverside LLC,Webster,Fort Dodge,Closed Contracts - Successful,High Quality Jobs Program,15-HQJDF-055,05/22/2015,7400000,5700000,500000,0,30,0,0,30,16.45,30,0,0,30,16.45,8054479.00,05/31/2018,30,0,0,30,05/31/2020,POINT (-94.169388 42.501169)
"Rembrandt Enterprises, Inc.",Buena Vista,Rembrandt,Closed Contracts - Successful,Value-Added Agriculture Component,12-VAAC-003,08/18/2011,3700000,3650000,100000,50000,0,0,22,22,18.37,0,0,22,22,18.37,8184995.00,08/31/2014,0,0,0,0,08/31/2016,POINT (-95.165068 42.825554)
E.I. DuPont de Nemours and Company,Polk,Johnston,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-023,01/20/2011,147000000,32000000,0,6960000,138,0,0,138,23.20,138,0,0,138,23.20,269161999.00,01/31/2014,138,0,0,138,01/31/2016,POINT (-93.697646 41.669319)
Clow Valve Company,Mahaska,Oskaloosa,Closed Contracts - Partial,High Quality Jobs Program,12-HQJP-036,03/26/2012,7900000,7900000,0,218040,6,0,0,6,20.04,6,0,0,6,20.04,7293065.00,03/31/2015,6,0,0,6,03/31/2017,POINT (-92.645022 41.296244)
"Trelleborg Wheel Systems Americas, Inc. (fka Mitas Tires)",Floyd,Charles City,Closed Contracts - Partial,100% Component,11-100-004,08/19/2010,43810000,39882000,924000,2853125,154,0,38,192,14.48,154,0,38,192,14.48,63938667.00,05/31/2017,154,0,9,163,05/31/2019,POINT (-92.672524 43.066415)
"Echo Group, Inc.",Pottawattamie,Council Bluffs,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-038,05/16/2014,11078065,11078065,0,738342,8,109,73,117,19.75,6,38,2,46,19.75,12452917.00,05/31/2017,6,38,2,46,05/31/2019,POINT (-95.85436 41.258963)
Fidlar Acquisition Inc. d/b/a Fidlar Technologies,Scott,Davenport,Closed Contracts - Successful,130% Component,12-130-013,10/20/2011,2670000,2670000,336000,186500,42,0,6,48,22.54,31,0,17,48,22.54,6119712.00,10/31/2014,48,0,0,48,10/31/2016,POINT (-90.577036 41.523527)
"Weiler, Inc.",Marion,Knoxville,Closed Contracts - Successful,100% Component,11-100-013,02/17/2011,5337500,4692600,50000,545000,15,0,1,16,16.79,15,0,1,16,16.79,8319743.00,02/28/2014,15,0,1,16,02/29/2016,POINT (-93.109494 41.320727)
"Land O'Lakes, Inc.",Webster,Fort Dodge,Closed Contracts - Successful,130% Component,12-130-009,10/20/2011,1119580,1119580,200000,100000,1,25,0,26,19.62,0,25,0,25,19.62,1970545.00,10/31/2014,0,25,0,25,10/31/2016,POINT (-94.169388 42.501169)
"Bridgestone Americas Tire Operations, LLC",Polk,Des Moines,Closed Contracts - Full,130% Component,12-130-004,08/18/2011,56600000,56600000,500000,108000,59,0,13,72,23.75,59,0,13,72,23.75,0.00,08/31/2014,0,0,0,0,08/31/2016,POINT (-93.620309 41.588822)
Plymouth Oil Co. LLC,Plymouth,Merrill,Bankruptcy,High Quality Jobs Program,09-HQJC-002,07/17/2008,20354027,18834027,0,1260041,18,0,3,21,21.38,0,0,21,21,21.38,0.00,07/31/2013,0,0,0,0,07/31/2015,POINT (-96.252639 42.719961)
The ESCO Group-ESCO Automation,Linn,Marion,Closed Contracts - Successful,130% Component,11-130-012,11/18/2010,4945000,4945000,130000,448500,25,0,0,25,21.80,24,0,0,24,21.80,5568041.00,08/31/2015,24,0,0,24,08/31/2017,POINT (-91.587223 42.036098)
"Bomgaars Supply, Inc. & Confluent Enterprises, LLC",Woodbury,Sioux City,Closed Contracts - Successful,Enterprise Zone,14-EZ-002,10/18/2013,17000000,17000000,0,2051200,0,49,15,64,14.60,0,49,15,64,14.60,15866962.00,10/31/2016,0,49,15,64,10/31/2018,POINT (-96.406436 42.496323)
"Cottingham & Butler Insurance Service, Inc.",Dubuque,Dubuque,Closed Contracts - Successful,High Quality Jobs Program,15-HQJDF-036,02/20/2015,1235000,590000,300000,0,75,0,15,90,20.06,75,0,15,90,20.06,1363842.00,02/28/2018,75,0,15,90,02/28/2020,POINT (-90.667314 42.505512)
"New Tech Ceramics, Inc.",Boone,Boone,Closed Contracts - Full,Entrepreneurial Ventures Assistance,08-EVA-007,12/20/2007,1150000,489055,150000,0,18,0,0,18,18.49,0,0,18,18,18.49,1383145.00,12/30/2010,2,0,0,2,12/31/2012,POINT (-93.879963 42.056575)
"Sedgwick Claims Management Services, Inc.",Dubuque,Dubuque,Closed Contracts - Successful,130% Component,11-130-003,08/19/2010,4900519,4655492,310900,112721,44,0,62,106,20.07,44,0,62,106,20.07,4900519.00,08/31/2013,44,0,62,106,08/31/2015,POINT (-90.667314 42.505512)
"Green Industrial Supply, Inc.",Dubuque,Dubuque,Closed Contracts - Successful,130% Component,12-130-003,08/18/2011,11365000,11365000,80000,704800,11,0,5,16,20.52,10,0,5,15,20.52,11417721.00,02/28/2017,11,0,2,13,02/28/2019,POINT (-90.667314 42.505512)
"Indoshell Precision Technologies, LLC",Story,Story City,Closed Contracts - Partial,100% Component,11-100-012,01/20/2011,7175000,6975000,450000,305000,26,0,46,72,20.84,8,0,0,8,20.84,7114941.00,01/31/2015,4,0,0,4,01/31/2017,POINT (-93.591059 42.185863)
"CNH America, LLC",Des Moines,Burlington,Closed Contracts - Full,Enterprise Zone,13-EZ-015,07/19/2013,10900000,9300000,0,751160,36,0,0,36,13.68,40,0,0,40,13.68,0.00,07/31/2018,0,0,0,0,07/31/2020,POINT (-91.101278 40.81059)
CRST International,Linn,Cedar Rapids,Closed Contracts - Successful,Enterprise Zone,14-EZ-007,05/16/2014,36542100,36542100,0,1757430,12,0,18,30,17.20,12,0,18,30,17.20,14708027.00,05/31/2017,12,0,18,30,05/31/2019,POINT (-91.669808 41.978122)
"Hy-Vee, Inc.",Lucas,Chariton,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-038,05/19/2011,18362259,18362259,0,836817,10,0,0,10,19.06,10,0,0,10,19.06,19977448.00,05/31/2014,10,0,0,10,05/31/2016,POINT (-93.303492 41.014443)
TMT Manufacturing,Scott,Davenport,Closed Contracts - Full,Community Economic Betterment Account,06-CEBA-012,10/20/2005,1657750,1223500,100000,0,19,0,6,25,19.67,19,0,6,25,19.67,0.00,12/31/2008,0,0,0,0,12/31/2010,POINT (-90.577036 41.523527)
Palmer and Company d/b/a Palmer Candy Company,Woodbury,Sioux City,Closed Contracts - Successful,Enterprise Zone,06-EZ-035,05/18/2006,995000,995000,0,141537,10,0,0,10,12.22,4,0,6,10,12.22,1070947.00,05/31/2009,4,0,6,10,05/31/2019,POINT (-96.406436 42.496323)
"Amcor Rigid Plastics USA, Inc.",Story,Ames,Closed Contracts - Partial,130% Component,12-130-037,06/22/2012,24060000,24060000,175000,1275000,0,97,0,97,21.25,0,97,0,97,21.25,18891895.00,06/30/2015,0,97,0,97,06/30/2017,POINT (-93.620181 42.026802)
"Joseph T. Ryerson and Son, Inc.",Scott,Eldridge,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-012,11/18/2010,7391000,7391000,0,150600,6,0,45,51,22.07,6,0,45,51,22.07,8485559.00,11/30/2013,6,0,45,51,11/30/2015,POINT (-90.583004 41.654668)
Data Dimensions Corporation,Clinton,Clinton,Closed Contracts - Successful,Enterprise Zone,13-EZ-012,03/22/2013,6218700,5901350,0,162000,10,0,120,130,14.03,10,0,120,130,14.03,6875937.00,03/31/2016,10,0,100,110,03/31/2018,POINT (-90.190747 41.838935)
"Clipper Windpower, Inc.",Linn,Cedar Rapids,Closed Contracts - Partial,Enterprise Zone,05-EZ-030,04/21/2005,21671500,1201500,2846000,146152,133,0,8,141,12.81,43,0,0,43,12.81,730298532.00,04/30/2008,51,0,0,51,04/30/2018,POINT (-91.669808 41.978122)
BoDeans Cone Company LLC,Plymouth,Le Mars,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-0025,11/18/2011,4808590,4808590,0,143422,3,0,6,9,21.39,3,0,6,9,21.39,4819197.00,11/30/2014,3,0,6,9,11/30/2016,POINT (-96.173749 42.788178)
"AMPC, Inc. d/b/a Proliant Meat Ingredients",Shelby,Harlan,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-001,07/20/2012,21700000,21700000,0,336000,1,0,12,13,17.98,1,0,12,13,17.98,27596114.00,07/31/2015,1,0,12,13,07/31/2017,POINT (-95.325555 41.645668)
"Midwest Manufacturing, a division of Menard, Inc.",Pottawattamie,Shelby,Closed Contracts - Successful,Enterprise Zone,06-EZ-011,01/19/2006,34817533,33907533,1274000,397627,300,0,0,300,9.75,300,0,0,300,9.75,72421726.00,01/19/2009,300,0,0,300,01/19/2019,POINT (-95.449684 41.517114)
"Capital City Fruit, Inc.",Warren,Norwalk,Closed Contracts - Successful,130% Component,11-130-027,04/21/2011,11450000,11450000,215000,1000500,4,38,0,42,18.30,4,38,0,42,18.30,12617109.00,04/30/2014,4,38,0,42,04/30/2016,POINT (-93.674074 41.497011)
"Weems Industries, Inc. d/b/a Legacy Manufacturing Co.",Linn,Marion,Closed Contracts - Successful,High Quality Jobs Program,15-HQJTC-010,08/22/2014,10423550,8698550,0,261750,1,0,33,34,23.45,1,0,33,34,23.45,13417161.00,08/31/2017,1,0,18,19,08/31/2019,POINT (-91.587223 42.036098)
"Helena Industries, Inc.",Polk,Des Moines,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-043,06/21/2013,4150000,4150000,0,207500,1,0,2,3,23.12,1,0,2,3,23.12,5265598.00,06/30/2016,1,0,2,3,06/30/2018,POINT (-93.620309 41.588822)
WW Homestead Dairy LLC,Allamakee,Waukon,Closed Contracts - Successful,Value-Added Agriculture Component,11-VAAC-002,09/16/2010,789300,789300,75000,0,0,0,0,0,0.00,0,0,0,0,0.00,1240317.00,09/30/2013,0,0,0,0,09/30/2015,POINT (-91.475596 43.269266)
Valent BioSciences Corporation,Mitchell,Osage,Closed Contracts - Successful,130% Component,11-130-030,04/21/2011,141039000,132461000,1000000,3491898,48,0,41,89,19.81,48,0,41,89,19.81,143850048.00,04/30/2015,48,0,41,89,04/30/2017,POINT (-92.811156 43.284136)
