Company Name,County,City,Status,Program,Primary Funding Agreement,Award Date,Total Project Cost,Capital Investment,Direct Assistance Awarded,Tax Benefits Awarded,Projected Jobs - Created,Projected Jobs - Retained,Projected Jobs - Other,Projected Jobs - Total,Projected Qualifying Wage,Contracted Jobs - Created,Contracted Jobs - Retained,Contracted Jobs - Other Created,Contracted Jobs - Total,Contracted Qualifying Wage,Verified Total Project Cost,Project Completion Date,Final Jobs - Created,Final Jobs - Retained,Final Jobs - Other Created,Final Jobs - Total,Project Maintenance Date,City Coordinates
Genesis Systems Group,Scott,Davenport,Closed Contracts - Successful,Enterprise Zone,14-EZ-004,11/22/2013,4145000,4145000,0,162600,9,2,0,11,15.48,9,2,0,11,15.48,4187100.00,11/30/2016,9,2,0,11,11/30/2018,POINT (-90.577036 41.523527)
"AMPC, Inc. d/b/a Proliant Meat Ingredients",Shelby,Harlan,Closed Contracts - Successful,Enterprise Zone,12-EZ-004,07/21/2011,9550000,9550000,0,508530,10,3,0,13,12.34,10,3,0,13,12.34,11200431.00,07/31/2014,10,3,0,13,07/31/2016,POINT (-95.325555 41.645668)
"The Lauridsen Group, Inc.",Polk,Ankeny,Closed Contracts - Partial,High Quality Jobs Program,12-HQJP-005,08/18/2011,8700000,8700000,0,673500,16,0,0,16,23.75,16,0,0,16,23.75,10052108.00,02/28/2015,15,0,0,15,02/28/2017,POINT (-93.600414 41.72508)
Rail.One USA Corp,Clinton,Clinton,Closed Contracts - Partial,Enterprise Zone,13-EZ-014,03/22/2013,22020000,19907500,0,2157500,62,0,0,62,14.03,62,0,0,62,14.03,22108112.00,03/31/2016,42,0,0,42,03/31/2018,POINT (-90.190747 41.838935)
The Schebler Company,Scott,Riverdale,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-035,02/17/2012,1521945,1516945,0,28370,3,1,0,4,22.54,3,1,0,4,22.54,1418520.00,02/28/2015,3,1,0,4,02/28/2017,POINT (-90.464346 41.539386)
Heartland Energy Solutions,Ringgold,Mount Ayr,Closed Contracts - Full,Economic Development Set-Aside,08-ED-012,12/20/2007,1780000,1105000,310000,0,72,0,34,106,12.19,72,0,34,106,12.19,6678080.00,06/30/2013,18,0,0,18,06/30/2015,POINT (-94.233197 40.711076)
HH Ventures LLC,Linn,Hiawatha,Closed Contracts - Successful,Entrepreneurial Component,11-EC-003,09/16/2010,430000,0,150000,0,9,1,0,10,16.77,9,0,0,9,16.77,664370.00,09/30/2013,9,0,0,9,09/30/2015,POINT (-91.671159 42.03703)
"Cambridge Investment Group, Inc.",Jefferson,Fairfield,Closed Contracts - Successful,Enterprise Zone,05-EZ-025,03/17/2005,5685000,5303000,150000,697875,48,0,45,93,11.36,48,0,45,93,11.36,5658000.00,03/30/2008,48,0,45,93,03/30/2018,POINT (-91.965049 41.006634)
"Martin Brothers Distributing Company, Inc.",Black Hawk,Cedar Falls,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-040,03/26/2012,5983508,5983508,0,298815,2,0,10,12,21.04,2,0,10,12,21.04,6517578.00,03/31/2015,2,0,10,12,03/31/2017,POINT (-92.4534 42.537809)
"IML Containers Iowa, Inc.",Plymouth,Le Mars,Closed Contracts - Partial,High Quality Jobs Program,11-HQJP-032,04/21/2011,11034910,11034910,0,268895,1,0,28,29,20.42,1,0,28,29,20.42,10096223.00,03/31/2015,1,0,13,14,03/31/2017,POINT (-96.173749 42.788178)
"Carmi Flavor & Fragrance Co., Inc.",Bremer,Waverly,Closed Contracts - Full,100% Component,10-100-002,08/20/2009,1182500,1175000,150000,0,33,9,42,84,14.92,33,9,42,84,14.92,0.00,02/28/2013,0,0,0,0,02/28/2015,POINT (-92.475648 42.725714)
"Kemin Industries, Inc.",Polk,Des Moines,Closed Contracts - Successful,130% Component,11-130-011,10/21/2010,125495106,66695106,1000000,5335640,58,0,40,98,23.20,79,0,60,139,23.20,195375784.00,10/31/2017,79,0,0,79,10/31/2019,POINT (-93.620309 41.588822)
MediRevv. Inc.,Johnson,Coralville,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-044,06/21/2013,3825000,2425000,0,150000,16,0,40,56,20.51,16,0,40,56,20.51,4665961.00,06/30/2016,16,0,40,56,06/30/2018,POINT (-91.577768 41.672677)
"DENSO Manufacturing Michigan, Inc.",Polk,Urbandale,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-010,10/19/2012,1193996,521112,0,34512,7,0,0,7,23.12,4,0,0,4,23.12,1271071.00,10/31/2015,4,0,0,4,10/31/2017,POINT (-93.736522 41.630343)
"Hydrite Chemical Company, Inc.",Black Hawk,Waterloo,Closed Contracts - Successful,Enterprise Zone,13-EZ-008,12/27/2012,15368221,15318221,0,412956,9,1,0,10,13.69,10,1,0,11,13.69,15503438.00,12/30/2015,10,1,0,11,12/30/2017,POINT (-92.34364 42.493469)
"Kemin Industries, Inc.",Polk,Des Moines,Closed Contracts - Successful,Enterprise Zone,05-EZ-023,02/17/2005,17785350,0,550000,1197650,40,0,0,40,0.00,24,0,0,24,0.00,31596378.00,02/28/2009,24,0,0,24,02/28/2019,POINT (-93.620309 41.588822)
Microsoft Corporation,Dallas,West Des Moines,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-015,09/15/2011,84752337,84752337,0,131242,4,0,6,10,22.94,4,0,6,10,22.94,118548470.00,09/30/2014,4,0,6,10,09/30/2016,POINT (-93.713031 41.575505)
Sukup Manufacturing Company,Franklin,Sheffield,Closed Contracts - Successful,Enterprise Zone,06-EZ-017,12/15/2005,2500000,2150000,0,238142,10,0,0,10,11.84,10,0,0,10,11.84,3456868.78,12/31/2008,10,0,0,10,12/31/2018,POINT (-93.215301 42.893286)
"Geneseo Communications Services, Inc.",Scott,Bettendorf,Closed Contracts - Partial,130% Component,12-130-028,04/20/2012,15200000,14600000,96000,498900,12,0,1,13,22.54,6,0,1,7,22.54,19984991.00,04/30/2016,4,0,0,4,04/30/2018,POINT (-90.507281 41.526274)
Catalyst International,Sioux,Sioux Center,Closed Contracts - Full,Value-added Agricultural Products and Process Financial Assistance Program,04-VAP-012,02/19/2004,1000000,1000000,125000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,02/19/2008,0,0,0,0,02/26/2010,POINT (-96.175468 43.075969)
Phoenix Closures,Scott,Davenport,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-016,11/18/2010,738000,738000,0,29520,0,43,8,51,22.07,0,43,8,51,22.07,879951.00,11/30/2013,0,43,0,43,11/30/2015,POINT (-90.577036 41.523527)
"UNVERFERTH MANUFACTURING CO., INC.",Butler,Shell Rock,Closed Contracts - Full,High Quality Jobs Program,13-HQJDF-009,09/21/2012,8920000,5920000,200000,400000,75,0,0,75,18.36,75,0,0,75,18.36,0.00,09/30/2015,0,0,0,0,09/30/2017,POINT (-92.583205 42.710068)
"Metal Tech Industries, Inc. and Life Holding Company, LLC",Hardin,Iowa Falls,Closed Contracts - Successful,100% Component,12-100-007,01/20/2012,4372166,4075877,45000,408209,4,4,5,13,15.38,4,4,5,13,15.38,4372166.00,03/31/2017,4,4,5,13,03/31/2019,POINT (-93.265461 42.519636)
Little Sioux Corn Processors LP,Cherokee,Marcus,Closed Contracts - Successful,Enterprise Zone,07-EZ-013,09/21/2006,70000000,67556000,0,3627800,10,0,0,10,11.22,10,0,0,10,11.22,73110319.00,09/30/2009,10,0,0,10,09/30/2019,POINT (-95.799373 42.824193)
Monsanto Company,Muscatine,Muscatine,Closed Contracts - Partial,High Quality Jobs Program,15-HQJTC-016,11/21/2014,74641000,73990000,0,4155680,51,0,0,51,17.06,51,0,0,51,17.06,96170212.00,11/30/2017,45,0,0,45,11/30/2019,POINT (-91.044853 41.420448)
Cargill Kitchen Solutions,Cerro Gordo,Mason City,Closed Contracts - Successful,Enterprise Zone,11-EZ-030,05/19/2011,12450000,12400000,0,562600,20,0,0,20,13.62,20,0,0,20,13.62,10489882.00,05/31/2014,20,0,0,20,05/31/2016,POINT (-93.201042 43.153621)
"Revstone Casting Fairfield (RCF), LLC",Jefferson,Fairfield,Closed Contracts - Successful,Enterprise Zone,11-EZ-023,02/17/2011,1515000,1515000,0,347317,52,0,0,52,12.79,52,0,0,52,12.79,1519766.00,05/31/2014,52,0,0,52,05/31/2016,POINT (-91.965049 41.006634)
"ELPLAST America, Inc.",Linn,Marion,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-003,09/20/2013,5860000,5850000,0,217250,3,0,7,10,22.93,4,0,6,10,22.93,8099868.00,09/30/2016,4,0,6,10,09/30/2018,POINT (-91.587223 42.036098)
American Packaging Corporation,Story,Story City,Closed Contracts - Successful,High Quality Jobs Program,14-HQJDF-032,05/16/2014,8856500,8856500,62500,309237,20,0,0,20,22.01,20,0,0,20,22.01,9685786.00,05/31/2017,20,0,0,20,05/31/2019,POINT (-93.591059 42.185863)
"Tyson Prepared Foods, Inc. #2",Pottawattamie,Council Bluffs,Closed Contracts - Partial,Value-Added Agriculture Component,11-VAAC-009,05/19/2011,48386187,48386187,800000,2474106,53,0,79,132,12.85,44,0,79,123,12.85,52011030.00,05/31/2014,44,0,0,44,05/31/2016,POINT (-95.85436 41.258963)
CoVault Technology LLC,Linn,Cedar Rapids,Closed Contracts - Successful,Entrepreneurial Ventures Assistance,07-EVA-003,08/16/2006,550000,550000,100000,0,6,0,2,8,24.53,6,0,2,8,24.53,550000.00,08/31/2009,6,0,2,8,08/31/2011,POINT (-91.669808 41.978122)
"LXI Enterprise Storage, Inc.",Cerro Gordo,Mason City,Closed Contracts - Full,Community Economic Betterment Account,06-CEBA-010,09/15/2005,2402500,405500,250000,0,24,0,19,43,18.00,24,0,19,43,18.00,0.00,09/30/2008,0,0,0,0,09/30/2010,POINT (-93.201042 43.153621)
"AgReliant Genetics, LLC",Boone,Ogden,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-054,05/18/2012,36221729,36221729,0,2103638,16,0,18,34,20.16,16,0,18,34,20.16,37209235.00,05/31/2015,16,0,18,34,05/31/2017,POINT (-94.028038 42.039088)
"Sadler Power Train, Inc.",Scott,Davenport,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-029,01/18/2013,3250000,3240000,0,135450,6,0,0,6,16.85,6,0,0,6,16.85,3700248.00,01/31/2016,6,0,0,6,01/31/2018,POINT (-90.577036 41.523527)
Mississippi River Distilling Company,Scott,LeClaire,Closed Contracts - Successful,Grow Iowa Value Fund,11-IVF-003,07/15/2010,637500,327000,95000,0,0,0,0,0,0.00,0,0,0,0,0.00,1416000.00,07/31/2013,0,0,0,0,07/31/2015,POINT (-90.343604 41.597584)
New Horizon Cuisine,Polk,Ankeny,Closed Contracts - Successful,Value-Added Agriculture Component,12-VAAC-001,07/21/2011,2213800,2095000,259000,0,0,0,0,0,0.00,0,0,0,0,0.00,2081435.00,08/31/2017,0,0,0,0,08/31/2019,POINT (-93.600414 41.72508)
"Sedgwick Claims Management Services, Inc.",Johnson,Coralville,Closed Contracts - Successful,High Quality Jobs Program,13-HQJDF-003,08/17/2012,3737651,3710247,368000,100000,46,0,0,46,20.51,46,0,166,212,20.51,3737651.00,01/31/2016,46,0,166,212,01/31/2018,POINT (-91.577768 41.672677)
A.Y. McDonald Manufacturing,Dubuque,Dubuque,Closed Contracts - Successful,130% Component,12-130-017,12/16/2011,2613872,2613872,136000,150944,17,0,0,17,20.52,17,0,0,17,20.52,2739757.00,12/31/2014,17,0,0,17,12/31/2016,POINT (-90.667314 42.505512)
"Cargill, Inc.; Grain and Oilseed Supply Chain - N.A.",Hardin,Iowa Falls,Closed Contracts - Successful,Enterprise Zone,05-EZ-033,06/10/2005,33500000,33300000,400000,2960000,11,0,0,11,10.71,11,0,0,11,10.71,36924761.00,06/10/2008,11,0,0,11,06/10/2018,POINT (-93.265461 42.519636)
Fastek International Ltd.,Linn,Cedar Rapids,Closed Contracts - Partial,Entrepreneurial Component,11-EC-004,10/21/2010,751000,100000,250000,0,11,0,0,11,16.77,11,0,0,11,16.77,0.00,10/31/2013,0,0,0,0,10/31/2015,POINT (-91.669808 41.978122)
"Unverferth Manufacturing Co., Inc.",Butler,Shell Rock,Closed Contracts - Full,100% Component,11-100-008,11/18/2010,2000000,2000000,140000,0,40,0,0,40,14.27,40,0,0,40,14.27,2615711.00,11/30/2013,0,0,0,0,11/30/2015,POINT (-92.583205 42.710068)
"Proliant Biologicals, Inc.",Boone,Boone,Closed Contracts - Successful,High Quality Jobs Program,12-HQJP-006,08/18/2011,12500000,12500000,0,358000,1,0,7,8,20.16,1,0,7,8,20.16,16741054.00,08/31/2014,1,0,7,8,08/31/2016,POINT (-93.879963 42.056575)
"Hy-Capacity, Inc",Humboldt,Humboldt,Closed Contracts - Partial,130% Component,11-130-004,08/19/2010,1103780,1103780,75000,169648,13,0,15,28,18.27,13,0,15,28,18.27,2076384.00,08/31/2013,5,0,0,5,08/31/2015,POINT (-94.214548 42.721128)
"Agilent Technologies, Inc. f/k/a Advanced Analytical Technologies, Inc.",Polk,Ankeny,Closed Contracts - Partial,High Quality Jobs Program,15-HQJDF-042,03/27/2015,7789587,2009205,500000,256059,57,0,0,57,25.52,57,0,0,57,25.52,10004811.00,03/31/2018,23,0,0,23,03/31/2020,POINT (-93.600414 41.72508)
"The Lauridsen Group, Inc.",Polk,Ankeny,Closed Contracts - Successful,High Quality Jobs Program,14-HQJDF-006,10/18/2013,4148200,4108200,320000,265520,40,0,0,40,24.32,13,0,0,13,24.32,4726794.00,10/31/2016,13,0,0,13,10/31/2018,POINT (-93.600414 41.72508)
WebFilings LLC,Story,Ames,Closed Contracts - Successful,130% Component,11-130-010,12/16/2010,31601000,18358000,2259000,2515380,251,6,0,257,20.84,241,6,0,247,20.84,36139564.00,12/31/2013,241,6,0,247,12/31/2015,POINT (-93.620181 42.026802)
"Owen Industries, Inc.",Pottawattamie,Carter Lake,Closed Contracts - Successful,High Quality Jobs Program,14-HQJDF-020,01/17/2014,34750000,34750000,50000,2036040,1,19,15,35,19.75,1,19,15,35,19.75,42409796.00,01/31/2017,1,19,16,36,01/31/2019,POINT (-95.917979 41.284946)
Sabre Communications Corporation,Woodbury,Sioux City,Closed Contracts - Successful,100% Component,12-100-009,03/26/2012,25470955,25470955,960000,2045000,177,151,9,337,15.77,177,151,9,337,15.77,27477748.00,03/31/2015,177,151,9,337,03/31/2017,POINT (-96.406436 42.496323)
Archer Daniels Midland Company,Clinton,Clinton,Closed Contracts - Successful,Enterprise Zone,06-EZ-030,04/20/2006,284000000,270750000,0,6135000,114,0,0,114,0.00,88,0,0,88,0.00,362126000.00,04/30/2009,88,0,0,88,04/30/2019,POINT (-90.190747 41.838935)
"Cambrex Charles City, Inc.",Floyd,Charles City,Closed Contracts - Successful,High Quality Jobs Program,13-HQJDF-008,08/17/2012,19309855,17000000,368000,169648,46,0,0,46,14.06,46,0,0,46,14.06,38802766.00,08/31/2015,46,0,0,46,08/31/2017,POINT (-92.672524 43.066415)
Winegard Company,Des Moines,Burlington,Closed Contracts - Successful,Enterprise Zone,12-EZ-012,02/17/2012,25829861,13313861,0,1417171,16,0,55,71,14.50,16,0,55,71,14.50,29809065.00,02/28/2015,16,0,55,71,02/28/2017,POINT (-91.101278 40.81059)
Nationwide Mutual Insurance Company,Polk,Des Moines,Closed Contracts - Partial,Enterprise Zone,06-EZ-020,12/15/2005,157849522,140000000,0,18831239,785,0,785,1570,14.09,1570,0,0,1570,14.09,151419274.00,10/31/2013,785,0,785,1570,10/31/2023,POINT (-93.620309 41.588822)
Custom Poultry Processing LLC,Floyd,Charles City,Closed Contracts - Full,Enterprise Zone,10-EZ-012,12/17/2009,3330000,3305000,250000,350400,26,0,0,26,14.48,26,0,0,26,14.48,0.00,12/31/2012,0,0,0,0,12/31/2014,POINT (-92.672524 43.066415)
"Ajinomoto Heartland, Inc.",Wapello,Eddyville,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-034,03/22/2013,29775900,29594600,0,1037645,11,0,4,15,17.21,11,0,4,15,17.21,29775900.00,03/31/2016,11,0,4,15,03/31/2018,POINT (-92.630188 41.158178)
"BoDeans Wafer Company, LLC",Plymouth,Le Mars,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-027,01/18/2013,7500000,7500000,0,375000,11,0,0,11,19.08,11,0,0,11,19.08,7805245.00,01/31/2016,11,0,0,11,01/31/2018,POINT (-96.173749 42.788178)
"MV Contract Transportation, Inc.",Pottawattamie,Shelby,Closed Contracts - Successful,Enterprise Zone,05-EZ-026,03/17/2005,598205,598205,120000,61947,40,0,0,40,10.60,40,0,0,40,10.60,598782.00,03/31/2008,40,0,0,40,03/31/2018,POINT (-95.449684 41.517114)
"ConnectFive, Inc.",Johnson,Coralville,Closed Contracts - Partial,High Quality Jobs Program,14-HQJDF-016,12/20/2013,644260,195000,75000,0,10,0,0,10,21.71,6,0,0,6,21.71,525971.00,12/31/2016,1,0,0,1,12/31/2018,POINT (-91.577768 41.672677)
"Geater Machining and Manufacturing, Co.",Buchanan,Independence,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-045,06/16/2011,6500000,3600000,0,319000,11,0,0,11,17.02,11,0,0,11,17.02,7478860.00,06/30/2014,11,0,0,11,06/30/2016,POINT (-91.891754 42.467626)
Pella Corporation,Marion,Pella,Closed Contracts - Partial,High Quality Jobs Program,15-HQJDF-060,06/19/2015,8615000,3365000,152000,0,38,0,0,38,18.62,38,0,0,38,18.62,6278069.00,06/30/2018,38,0,0,38,06/30/2020,POINT (-92.916445 41.408107)
Personnel Research Services,Cerro Gordo,Clear Lake,Closed Contracts - Partial,Economic Development Set-Aside,05-ED-006,11/22/2005,768000,150000,125000,0,42,0,17,59,12.89,42,0,17,59,12.89,681352.00,11/30/2009,0,0,0,0,11/30/2011,POINT (-93.378746 43.137357)
H.J. Heinz Company L.P.,Linn,Cedar Rapids,Closed Contracts - Successful,Value-Added Agriculture Component,12-VAAC-005,09/15/2011,10943367,10943367,100000,405904,2,0,29,31,22.25,2,0,29,31,22.25,11760971.00,09/30/2014,2,0,29,31,09/30/2016,POINT (-91.669808 41.978122)
"Wapsie Valley Creamery, Inc.",Buchanan,Independence,Closed Contracts - Successful,Value-Added Agriculture Component,12-VAAC-007,10/20/2011,991186,991186,100000,73750,0,26,0,26,18.01,0,26,0,0,18.01,1412476.00,10/31/2014,0,26,0,26,10/31/2016,POINT (-91.891754 42.467626)
"MobileDemand, L.C.",Linn,Hiawatha,Closed Contracts - Full,High Quality Jobs Program,11-HQJP-029,12/16/2010,563144,123894,0,65995,17,0,1,18,21.80,11,0,1,12,21.80,684484.00,12/31/2016,0,0,0,0,12/31/2018,POINT (-91.671159 42.03703)
"Tyson Pet Products, Inc.",Buchanan,Independence,Closed Contracts - Successful,High Quality Jobs Program,13-HQJTC-038,04/23/2013,24121465,22972824,0,1110700,11,0,122,133,16.80,11,0,122,133,16.80,25447419.00,04/30/2016,11,0,122,133,04/30/2018,POINT (-91.891754 42.467626)
"Flexsteel Industries, Inc.",Dubuque,Dubuque,Closed Contracts - Successful,100% Component,11-100-014,04/21/2011,12000000,12000000,40000,1423000,10,0,0,10,15.44,10,0,0,10,15.44,12051524.00,04/30/2014,10,0,0,10,04/30/2016,POINT (-90.667314 42.505512)
"Energy Control Technologies, Inc.",Polk,Urbandale,Closed Contracts - Partial,100% Component,12-100-004,10/20/2011,1492000,258000,75000,0,10,0,3,13,18.27,9,0,3,12,18.27,2123722.00,10/31/2015,9,0,3,12,10/31/2017,POINT (-93.736522 41.630343)
"Genuine Genius Solutions, LLC",Dubuque,Dubuque,Closed Contracts - Full,Entrepreneurial Ventures Assistance,07-EVA-026,05/17/2007,648499,40000,125000,0,11,0,2,13,20.47,11,0,2,13,20.47,0.00,05/31/2010,0,0,0,0,05/31/2012,POINT (-90.667314 42.505512)
"Henderson Enterprises, Inc.",Delaware,Manchester,Closed Contracts - Successful,Enterprise Zone,05-EZ-020,11/10/2004,3650000,3610000,0,415364,15,0,0,15,10.50,15,0,0,15,10.50,3659000.00,11/10/2008,15,0,0,15,11/10/2018,POINT (-91.457936 42.483972)
Van Meter Inc.,Polk,Urbandale,Closed Contracts - Full,High Quality Jobs Program,12-HQJP-060,06/22/2012,6400000,6400000,0,222000,9,0,0,9,23.75,9,0,2,11,23.75,7105146.00,06/30/2016,0,0,0,0,06/30/2018,POINT (-93.736522 41.630343)
"Castle Metal, Inc. (Kasteel Metaal B.V.)",Marion,Pella,Closed Contracts - Full,High Quality Jobs Program,14-HQJDF-001,07/19/2013,4060000,3245000,200000,184200,25,0,1,26,17.54,25,0,1,26,17.54,0.00,12/31/2017,0,0,0,0,12/31/2019,POINT (-92.916445 41.408107)
"Maharishi Ayurveda Products International, Inc.",Jefferson,Fairfield,Closed Contracts - Successful,130% Component,11-130-006,10/21/2010,1520000,1515000,50000,45800,2,7,10,19,18.47,2,7,10,19,18.47,1526208.00,10/31/2013,2,7,10,19,10/31/2015,POINT (-91.965049 41.006634)
Accu-Mold LLC,Polk,Ankeny,Closed Contracts - Successful,High Quality Jobs Program,11-HQJP-004,09/16/2010,6000000,6000000,0,802800,18,0,25,43,23.20,18,0,25,43,23.20,7321217.00,09/30/2013,18,0,25,43,09/30/2015,POINT (-93.600414 41.72508)
Harbor Group Inc.,Sioux,Sioux Center,Closed Contracts - Successful,High Quality Jobs Program,13-HQJDF-015,10/19/2012,1510000,1510000,225000,93500,30,0,15,45,18.66,30,0,15,45,18.66,1976488.00,10/31/2015,30,0,6,36,10/31/2017,POINT (-96.175468 43.075969)
Inteconnect Inc.,Linn,Cedar Rapids,Closed Contracts - Successful,Entrepreneurial Component,11-EC-011,03/17/2011,150000,140000,100000,0,0,0,0,0,0.00,0,0,0,0,0.00,174424.00,03/31/2014,0,0,0,0,03/31/2016,POINT (-91.669808 41.978122)
"AgSugar International, Inc.",Linn,Cedar Rapids,Closed Contracts - Full,Entrepreneurial Component,12-EC-001,07/21/2011,1565836,822591,250000,117954,12,0,12,24,15.09,12,0,12,24,15.09,0.00,07/31/2014,0,0,0,0,07/31/2016,POINT (-91.669808 41.978122)
CPM Acquisition Corp.,Black Hawk,Waterloo,Closed Contracts - Successful,High Quality Jobs Program,15-HQJTC-002,07/18/2014,750000,715000,0,26200,0,1,1,2,19.13,0,1,1,2,19.13,818456.00,07/31/2017,0,1,1,2,07/31/2019,POINT (-92.34364 42.493469)
Rural Soluxions LLC,Story,Ames,Closed Contracts - Successful,100% Component,12-100-001,08/18/2011,325000,95000,54000,0,20,0,0,20,16.34,20,0,0,20,16.34,5659387.00,08/31/2014,20,0,0,20,08/31/2016,POINT (-93.620181 42.026802)
"Divine Engineering, Inc",Linn,Cedar Rapids,Closed Contracts - Successful,Enterprise Zone,11-EZ-020,01/20/2011,500000,500000,0,62180,0,10,6,16,15.09,0,10,6,16,15.09,664566.00,06/30/2014,0,10,4,14,06/30/2016,POINT (-91.669808 41.978122)
Almaco,Story,Nevada,Closed Contracts - Full,High Quality Jobs Program,14-HQJDF-026,02/21/2014,5735000,1340000,150000,141725,23,0,0,23,22.01,23,0,0,23,22.01,0.00,02/28/2017,0,0,0,0,02/28/2019,POINT (-93.452278 42.019648)
"Gott Ice Cream?, LLC",Cedar,Tipton,Closed Contracts - Full,High Quality Jobs Program,14-HQJDF-039,05/16/2014,1195000,820000,125000,39250,24,1,10,35,18.22,24,1,10,35,18.22,0.00,05/31/2017,0,0,0,0,05/31/2019,POINT (-91.128408 41.769997)
Ag Processing Inc. a Cooperative,Woodbury,Sergeant Bluff,Closed Contracts - Successful,High Quality Jobs Program,15-HQJDF-022,12/19/2014,115356857,113495749,176000,1090000,22,0,1,23,20.66,22,0,1,23,20.66,115373952.00,12/31/2017,22,0,1,23,12/31/2019,POINT (-96.363068 42.400299)
"Danisco US Inc., Genencor Division - A Danisco Company",Linn,Cedar Rapids,Closed Contracts - Successful,130% Component,11-130-033,05/19/2011,67591269,67441269,500000,420482,33,0,0,33,21.80,33,0,0,33,21.80,71384170.00,05/31/2014,33,0,0,33,05/31/2016,POINT (-91.669808 41.978122)
